Unknown: MSHub_GCMS_polar_to_NIST.mgf file offset = 00000000         Compound in Library Factor = N/A
Hit 4  : <<3-Methyl-2-butenoic acid, hex-4-yn-3-yl ester>>;<<C11H16O2>>; MF: 663; RMF: 695; Prob: -1.00; CAS:0; Mw: 180; Lib: <<mainlib>>; Id: 65487; RI: 1294.
Hit 5  : <<1-Imidazol-1-yl-3-methylbut-2-en-1-one>>;<<C8H10N2O>>; MF: 646; RMF: 681; Prob: -1.00; CAS:61985-22-6; Mw: 150; Lib: <<mainlib>>; Id: 64701; RI: 0.
Hit 6  : <<3-Methyl-2-butenoic acid, undec-2-enyl ester>>;<<C16H28O2>>; MF: 634; RMF: 666; Prob: -1.00; CAS:0; Mw: 252; Lib: <<mainlib>>; Id: 64994; RI: 1796.
Hit 7  : <<Benzamide, 4-methyl-, O-[(phenylamino)carbonyl]oxime>>;<<C15H15N3O2>>; MF: 347; RMF: 651; Prob: -1.00; CAS:0; Mw: 269; Lib: <<mainlib>>; Id: 123118; RI: 0.
Hit 8  : <<3-Methyl-2-butenoic acid, 2,2-dimethylpropyl ester>>;<<C10H18O2>>; MF: 617; RMF: 650; Prob: -1.00; CAS:0; Mw: 170; Lib: <<mainlib>>; Id: 65056; RI: 0.
Hit 9  : <<Thionyl chloride>>;<<Cl2OS>>; MF: 601; RMF: 648; Prob: -1.00; CAS:7719-09-7; Mw: 118; Lib: <<replib>>; Id: 14927; RI: 0.
Hit 10 : <<Trichloromethane>>;<<CHCl3>>; MF: 639; RMF: 639; Prob: -1.00; CAS:67-66-3; Mw: 118; Lib: <<replib>>; Id: 14926; RI: 615.
Hit 11 : <<Trichloronitromethane>>;<<CCl3NO2>>; MF:  46; RMF: 629; Prob: -1.00; CAS:76-06-2; Mw: 163; Lib: <<replib>>; Id: 22995; RI: 0.
Hit 12 : <<Benzamide, 3-methyl-, O-[(phenylamino)carbonyl]oxime>>;<<C15H15N3O2>>; MF: 330; RMF: 624; Prob: -1.00; CAS:0; Mw: 269; Lib: <<mainlib>>; Id: 123117; RI: 0.
Hit 13 : <<6-Undecanol>>;<<C11H24O>>; MF: 589; RMF: 614; Prob: -1.00; CAS:23708-56-7; Mw: 172; Lib: <<replib>>; Id: 14829; RI: 0.
Hit 14 : <<2-Pyrazoline-1-carboxamide, 3,5-dimethyl->>;<<C6H11N3O>>; MF: 587; RMF: 613; Prob: -1.00; CAS:17014-31-2; Mw: 141; Lib: <<mainlib>>; Id: 65722; RI: 0.
Hit 15 : <<Norflurane>>;<<C2H2F4>>; MF: 571; RMF: 597; Prob: -1.00; CAS:811-97-2; Mw: 102; Lib: <<mainlib>>; Id: 1967; RI: 261.
Hit 16 : <<2-Butenoic acid, 3-methyl-, 3-methyl-2-butenyl ester>>;<<C10H16O2>>; MF: 569; RMF: 595; Prob: -1.00; CAS:72779-06-7; Mw: 168; Lib: <<mainlib>>; Id: 65378; RI: 1236.
Hit 17 : <<1,5-Pentanediol, O,O'-di(3-methylbut-2-enoyl)->>;<<C15H24O4>>; MF: 554; RMF: 595; Prob: -1.00; CAS:0; Mw: 268; Lib: <<mainlib>>; Id: 65508; RI: 0.
Hit 18 : <<2-Butynoic acid, 4-[(tetrahydro-2H-pyran-2-yl)oxy]-, methyl ester>>;<<C10H14O4>>; MF: 582; RMF: 588; Prob: -1.00; CAS:69511-49-5; Mw: 198; Lib: <<mainlib>>; Id: 65051; RI: 0.
Hit 19 : <<3-Methyl-2-butenoic acid, 4-hexadecyl ester>>;<<C21H40O2>>; MF: 563; RMF: 587; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 65786; RI: 0.
Hit 20 : <<Benzamide, 2-methyl-, O-[(phenylamino)carbonyl]oxime>>;<<C15H15N3O2>>; MF: 309; RMF: 582; Prob: -1.00; CAS:0; Mw: 269; Lib: <<mainlib>>; Id: 123116; RI: 0.
Hit 21 : <<N-Benzyl-N-methyl-p-toluenesulfonamide>>;<<C15H17NO2S>>; MF: 274; RMF: 579; Prob: -1.00; CAS:3695-02-1; Mw: 275; Lib: <<mainlib>>; Id: 124799; RI: 0.
Hit 22 : <<3-Methylbutan-2-yl (E)-2-methylbut-2-enoate>>;<<C10H18O2>>; MF: 550; RMF: 576; Prob: -1.00; CAS:0; Mw: 170; Lib: <<replib>>; Id: 14798; RI: 1137.
Hit 23 : <<2-Butenoic acid, 2-methyl-, 2-methylpropyl ester, (E)->>;<<C9H16O2>>; MF: 551; RMF: 575; Prob: -1.00; CAS:61692-84-0; Mw: 156; Lib: <<replib>>; Id: 14954; RI: 1093.
Hit 24 : <<Cyclopentanecarboxylic acid, 1-methyl->>;<<C7H12O2>>; MF: 547; RMF: 571; Prob: -1.00; CAS:5217-05-0; Mw: 128; Lib: <<mainlib>>; Id: 64766; RI: 1142.
Hit 25 : <<Ethyl trans-2-pentenoate>>;<<C7H12O2>>; MF: 546; RMF: 571; Prob: -1.00; CAS:24410-84-2; Mw: 128; Lib: <<mainlib>>; Id: 65054; RI: 0.
Hit 26 : <<Butanoic acid, 3-phenylpropyl ester>>;<<C13H18O2>>; MF: 204; RMF: 568; Prob: -1.00; CAS:7402-29-1; Mw: 206; Lib: <<replib>>; Id: 23145; RI: 0.
Hit 27 : <<2-Butenoic acid, 3-methyl-, ethyl ester>>;<<C7H12O2>>; MF: 531; RMF: 567; Prob: -1.00; CAS:638-10-8; Mw: 128; Lib: <<replib>>; Id: 14735; RI: 924.
Hit 28 : <<Pregna-3,5-dien-20à-ol, O-trimethylsilyl>>;<<C24H40OSi>>; MF: 262; RMF: 567; Prob: -1.00; CAS:0; Mw: 372; Lib: <<mainlib>>; Id: 119259; RI: 0.
Hit 29 : <<3-Methylbut-2-enoic acid, 3,5-dimethylphenyl ester>>;<<C13H16O2>>; MF: 566; RMF: 566; Prob: -1.00; CAS:0; Mw: 204; Lib: <<mainlib>>; Id: 65925; RI: 1568.
Hit 30 : <<Pregn-5-ene-3,20-diol, (3á,20S)-, 2TMS derivative>>;<<C27H50O2Si2>>; MF: 296; RMF: 562; Prob: -1.00; CAS:13110-77-5; Mw: 462; Lib: <<replib>>; Id: 22878; RI: 0.
Hit 31 : <<Pregna-3,5-dien-20á-ol, O-trimethylsilyl>>;<<C24H40OSi>>; MF: 262; RMF: 562; Prob: -1.00; CAS:0; Mw: 372; Lib: <<mainlib>>; Id: 119343; RI: 0.
Hit 32 : <<3-Methylbut-2-enoic acid, 2-methylpentyl ester>>;<<C11H20O2>>; MF: 534; RMF: 560; Prob: -1.00; CAS:0; Mw: 184; Lib: <<mainlib>>; Id: 65761; RI: 1270.
Hit 33 : <<Dec-1-en-3-yl angelate>>;<<C15H26O2>>; MF: 529; RMF: 555; Prob: -1.00; CAS:0; Mw: 238; Lib: <<mainlib>>; Id: 64752; RI: 0.
Hit 34 : <<Phosphorous acid, dicyclohexyl ester>>;<<C12H23O3P>>; MF: 492; RMF: 555; Prob: -1.00; CAS:139-69-5; Mw: 246; Lib: <<mainlib>>; Id: 64809; RI: 0.
Hit 35 : <<(E)-2-Methoxyethyl 2-methylbut-2-enoate>>;<<C8H14O3>>; MF: 528; RMF: 551; Prob: -1.00; CAS:0; Mw: 158; Lib: <<mainlib>>; Id: 65312; RI: 0.
Hit 36 : <<But-2-enoylamide, 3-methyl-N-2-ethylhexyl->>;<<C13H25NO>>; MF: 525; RMF: 549; Prob: -1.00; CAS:0; Mw: 211; Lib: <<mainlib>>; Id: 65062; RI: 1654.
Hit 37 : <<3-Methylbut-2-enoic acid, 2-ethoxyethyl ester>>;<<C9H16O3>>; MF: 509; RMF: 544; Prob: -1.00; CAS:0; Mw: 172; Lib: <<mainlib>>; Id: 65445; RI: 0.
Hit 38 : <<L-Valine, N-(3-methylbut-2-enoyl)-, isobutyl ester>>;<<C14H25NO3>>; MF: 525; RMF: 542; Prob: -1.00; CAS:0; Mw: 255; Lib: <<mainlib>>; Id: 66093; RI: 1755.
Hit 39 : <<2-Tetradecanol, TMS derivative>>;<<C17H38OSi>>; MF: 267; RMF: 541; Prob: -1.00; CAS:42449-19-4; Mw: 286; Lib: <<mainlib>>; Id: 119444; RI: 0.
Hit 40 : <<3-Phenyl-1-propanol, acetate>>;<<C11H14O2>>; MF: 184; RMF: 541; Prob: -1.00; CAS:122-72-5; Mw: 178; Lib: <<replib>>; Id: 23139; RI: 1373.
Hit 41 : <<Cinnamyl anthranilate>>;<<C16H15NO2>>; MF: 322; RMF: 540; Prob: -1.00; CAS:87-29-6; Mw: 253; Lib: <<replib>>; Id: 22939; RI: 2266.
Hit 42 : <<Heptyl tiglate, 4->>;<<C12H22O2>>; MF: 516; RMF: 536; Prob: -1.00; CAS:0; Mw: 198; Lib: <<mainlib>>; Id: 65068; RI: 0.
Hit 43 : <<Propanoic acid, 2-methyl-, 3-phenylpropyl ester>>;<<C13H18O2>>; MF: 186; RMF: 536; Prob: -1.00; CAS:103-58-2; Mw: 206; Lib: <<replib>>; Id: 23152; RI: 1408.
Hit 44 : <<2-Methylbenzoic acid, 2-methoxyethyl ester>>;<<C11H14O3>>; MF: 249; RMF: 535; Prob: -1.00; CAS:0; Mw: 194; Lib: <<mainlib>>; Id: 123156; RI: 0.
Hit 45 : <<4-Methylpentan-2-yl (E)-2-methylbut-2-enoate>>;<<C11H20O2>>; MF: 514; RMF: 533; Prob: -1.00; CAS:0; Mw: 184; Lib: <<mainlib>>; Id: 65602; RI: 1196.
Hit 46 : <<(E)-2-Ethoxyethyl 2-methylbut-2-enoate>>;<<C9H16O3>>; MF: 509; RMF: 531; Prob: -1.00; CAS:0; Mw: 172; Lib: <<mainlib>>; Id: 65438; RI: 0.
