Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 37 : <<1,2-Benzenediol, O,O'-di(4-methoxybenzoyl)->>;<<C22H18O6>>; MF: 576; RMF: 846; Prob: -1.00; CAS:0; Mw: 378; Lib: <<mainlib>>; Id: 149583; RI: 0.
Hit 38 : <<o-Methoxybenzoic acid, 2-isopropoxyphenyl ester>>;<<C17H18O4>>; MF: 559; RMF: 846; Prob: -1.00; CAS:0; Mw: 286; Lib: <<mainlib>>; Id: 149568; RI: 1978.
Hit 39 : <<o-Anisic acid, 4-methoxyphenyl ester>>;<<C15H14O4>>; MF: 556; RMF: 840; Prob: -1.00; CAS:0; Mw: 258; Lib: <<mainlib>>; Id: 148292; RI: 2127.
Hit 40 : <<Meridinol>>;<<C20H18O7>>; MF: 613; RMF: 837; Prob: -1.00; CAS:120051-54-9; Mw: 370; Lib: <<mainlib>>; Id: 149647; RI: 3112.
Hit 41 : <<p-Anisic acid, 3,5-dimethylphenyl ester>>;<<C16H16O3>>; MF: 595; RMF: 835; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 149575; RI: 2140.
Hit 42 : <<p-Methoxybenzoic acid, 2-bromo-4-fluorophenyl ester>>;<<C14H10BrFO3>>; MF: 528; RMF: 835; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 149569; RI: 2010.
Hit 43 : <<2'-Methoxy-N-methyl-2-oxo-2-phenylethylamine, PFP>>;<<C13H12F5NO3>>; MF: 588; RMF: 834; Prob: -1.00; CAS:0; Mw: 325; Lib: <<mainlib>>; Id: 148267; RI: 0.
Hit 44 : <<1,3-Benzenediol, o-(4-methylbenzoyl)-o'-(2-methoxybenzoyl)->>;<<C22H18O5>>; MF: 551; RMF: 834; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 149282; RI: 0.
Hit 45 : <<4-Methoxybenzoic acid, 3-fluorophenyl ester>>;<<C14H11FO3>>; MF: 520; RMF: 833; Prob: -1.00; CAS:0; Mw: 246; Lib: <<mainlib>>; Id: 149593; RI: 0.
Hit 46 : <<Furazan-3-amine, 4-(3,4-methylenedioxybenzyloxy)->>;<<C10H9N3O4>>; MF: 562; RMF: 832; Prob: -1.00; CAS:0; Mw: 235; Lib: <<mainlib>>; Id: 148281; RI: 0.
Hit 47 : <<Ethyl homopiperonylate>>;<<C11H12O4>>; MF: 579; RMF: 830; Prob: -1.00; CAS:26664-86-8; Mw: 208; Lib: <<mainlib>>; Id: 150986; RI: 0.
Hit 48 : <<p-Methoxybenzoic acid, 2-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 525; RMF: 830; Prob: -1.00; CAS:7465-89-6; Mw: 262; Lib: <<mainlib>>; Id: 149655; RI: 1981.
Hit 49 : <<4-Methoxybenzoic acid, 4-isopropylphenyl ester>>;<<C17H18O3>>; MF: 514; RMF: 830; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 149595; RI: 0.
Hit 50 : <<2-Methoxybenzoic acid, 2,4-dichloronaphthyl-1 ester>>;<<C18H12Cl2O3>>; MF: 529; RMF: 829; Prob: -1.00; CAS:0; Mw: 346; Lib: <<mainlib>>; Id: 148315; RI: 0.
